Uso,Genero,Dias,Ida/Vuelta,Hora Cu-Cu2,Hora Cu2-Cu,Satisfaccion,Espera Cu-Cu2,Espera Cu2-Cu,Frecuencia parado
Si,Femenino,1,0,0,14,2,15,60,5
Si,bbb,5,0,10,17,2,15,45,4
Si,Masculino,5,0,10,16,2,30,45,5
Si,Masculino,5,0,10,15,2,30,45,5
Si,Masculino,5,0,10,16,2,30,30,5
Si,Masculino,5,0,10,17,2,30,30,5
Si,Masculino,5,0,10,14,2,30,30,5
Si,Masculino,5,0,9,15,2,30,30,5
Si,Masculino,5,0,10,15,3,15,30,4
Si,S/G,5,0,10,11,2,30,29,5
Si,Masculino,5,0,10,16,1,30,45,4
Si,Masculino,5,0,10,15,1,30,45,4
Si,Masculino,5,0,10,17,1,30,45,4
Si,Masculino,5,0,11,16,1,30,45,4
Si,Masculino,5,0,11,17,1,30,45,4
Si,Masculino,5,0,15,16,1,30,45,4
Si,Masculino,5,0,15,15,1,30,45,4
Si,Masculino,5,0,15,17,1,30,45,4
Si,Masculino,5,0,0,16,1,30,45,4
Si,Masculino,5,0,0,15,1,30,45,4
Si,Masculino,5,0,0,17,1,30,45,4
Si,Femenino,5,0,10,12,3,15,30,4
Si,Femenino,5,0,7,18,3,45,60,4
Si,Femenino,5,0,8,18,3,45,60,4
Si,Masculino,5,0,10,15,2,15,45,3
Si,Masculino,5,0,11,14,2,30,60,5
Si,Masculino,5,0,10,14,2,30,60,5
Si,Masculino,5,0,11,18,2,44,60,5
Si,Masculino,5,0,10,18,2,44,60,5
Si,Masculino,5,0,10,18,1,15,30,4
Si,S/G,5,2,10,14,2,44,45,5
Si,bbb,5,0,7,18,1,30,45,5
Si,bbb,5,0,7,16,1,30,45,5
Si,Masculino,5,0,10,13,2,44,45,4
Si,Masculino,5,0,11,13,2,44,45,4
Si,Masculino,5,0,11,16,2,15,30,4
Si,Masculino,5,0,11,18,2,15,30,4
Si,Masculino,5,0,10,17,2,15,29,5
Si,Masculino,5,0,10,18,2,15,29,5
Si,Masculino,5,0,10,16,2,15,29,5
Si,Masculino,5,0,10,15,2,15,29,5
Si,Masculino,5,0,10,0,2,45,29,4
Si,Masculino,5,0,11,0,2,45,29,4
Si,Femenino,5,0,7,15,1,30,60,2
Si,Femenino,5,0,7,18,1,30,60,2
Si,Femenino,5,0,10,14,1,15,30,3
Si,Masculino,5,0,10,15,3,15,30,4
Si,Masculino,5,0,10,16,3,15,30,4
Si,Masculino,5,0,10,13,3,15,30,4
Si,S/G,5,0,7,14,2,15,45,5
Si,Femenino,5,0,0,17,3,0,45,5
Si,Femenino,5,0,7,13,3,30,60,3
Si,Femenino,5,0,7,14,3,30,60,3
Si,Femenino,5,0,7,12,3,30,60,3
Si,Femenino,5,0,10,18,3,15,45,3
Si,Femenino,5,0,11,18,3,15,45,3
Si,Femenino,5,0,7,18,2,15,45,5
Si,Masculino,4,0,10,14,3,30,30,3
Si,Masculino,4,0,10,12,3,30,30,3
Si,Masculino,4,0,10,13,3,30,30,3
Si,Femenino,5,0,7,14,1,45,60,4
Si,Femenino,5,0,7,17,2,15,60,4
Si,Femenino,5,0,7,18,2,15,60,4
Si,Femenino,5,0,9,17,2,15,60,4
Si,Femenino,5,0,9,18,2,15,60,4
Si,Femenino,5,0,8,17,2,15,60,4
Si,Femenino,5,0,8,18,2,15,60,4
Si,Femenino,5,0,7,12,3,30,30,2
Si,Femenino,5,0,7,13,3,30,30,2
Si,Femenino,5,0,7,15,2,15,15,1
Si,Masculino,5,0,8,17,3,60,30,4
Si,Masculino,5,0,8,15,3,60,30,4
Si,Masculino,5,0,8,16,3,60,30,4
Si,Masculino,5,0,8,13,3,60,30,4
Si,Masculino,5,0,7,18,1,30,45,5
Si,Masculino,5,0,7,19,1,30,45,5
